Empresa,Año,Mes,Día,Apertura,Máximo,Mínimo,Cierre,Cierre Ajustado,Volumen,Rendimiento Diario,Volatilidad,Tendencia,Sobrecompra/Sobrevendido,Recomendación
TSLA,2020,2,3,44.91266632080078,52.409332275390625,44.90133285522461,52.0,52.0,705975000.0,0.15780255905040316,0.0400261785539734,0.006675635794837289,-0.6750277510950652,Comprar
NVDA,2020,2,28,6.061500072479248,6.811500072479248,6.044750213623047,6.7517499923706055,6.728622913360596,1133252000.0,0.11387443894049719,0.03458899956630892,0.004610457966889244,-0.9692532408807775,Comprar
TSLA,2020,7,10,93.06666564941406,103.2613296508789,91.73400115966797,102.97666931152344,102.97666931152344,350064000.0,0.10648284853613177,0.043632402154901676,0.0045839242778333705,0.08200173117589091,Comprar
TSLA,2020,8,17,111.80000305175781,123.05733489990234,111.52200317382812,122.3759994506836,122.3759994506836,303634500.0,0.09459746073557461,0.042900767691141754,0.004079273864505063,0.4505647343193327,Comprar
TSLA,2023,2,14,191.94000244140625,209.82000732421875,189.44000244140625,209.25,209.25,216455700.0,0.0901844187684534,0.040692844135829145,0.0019756598451608313,-0.07022597066438535,Comprar
NVDA,2022,10,13,10.970999717712402,12.07800006866455,10.812999725341797,11.960000038146973,11.95009708404541,850103000.0,0.09014678205103353,0.029350687757756205,0.00036894541210693855,-0.39238509925071513,Comprar
JPM,2020,3,13,95.98999786376953,103.98999786376953,92.0,103.91000366210938,91.05957794189453,38543300.0,0.08250865688714815,0.027284348975471884,0.00045726867893185473,-0.41065085866939915,Comprar
TSLA,2020,7,20,101.267333984375,110.0,99.19999694824219,109.53333282470703,109.53333282470703,256821000.0,0.08162552044282542,0.04841667158746476,0.00568685070883734,0.18033660532686435,Comprar
NVDA,2020,3,17,5.022749900817871,5.521500110626221,4.775000095367432,5.4317498207092285,5.413144588470459,833632000.0,0.08142948145293051,0.04710485121121701,0.004414131172466942,-0.9733573647558666,Comprar
TSLA,2020,6,15,61.18600082397461,66.5893325805664,60.56666564941406,66.05999755859375,66.05999755859375,235458000.0,0.07965869102380287,0.029215868614981263,0.0031504791025958687,-0.3708391113270408,Comprar
TSLA,2021,10,25,316.84332275390625,348.3399963378906,314.73333740234375,341.6199951171875,341.6199951171875,188556300.0,0.07819849933377139,0.022452002962242274,0.005257224336218571,0.438956674694919,Comprar
NVDA,2022,11,30,15.696999549865723,16.93000030517578,15.597000122070312,16.92300033569336,16.913312911987305,565298000.0,0.07810414862617004,0.031700100944996826,0.0037983235106382922,-0.04825748059128219,Comprar
MSFT,2020,3,13,147.5,161.91000366210938,140.72999572753906,158.8300018310547,152.63844299316406,92727400.0,0.07681357173596398,0.03341101315230604,0.001170519844678315,-0.15618314015370166,Comprar
NVDA,2020,5,15,7.889750003814697,8.500499725341797,7.874000072479248,8.490750312805176,8.461668014526367,987660000.0,0.07617482286509644,0.029182737820569012,0.005115226280718999,-0.9420073507856188,Comprar
NVDA,2022,3,24,26.166000366210938,28.31999969482422,25.906999588012695,28.149999618530273,28.11239242553711,877379000.0,0.0758235582263976,0.03755743413092149,0.0019224435696462369,0.17633562363773492,Comprar
TSLA,2020,7,6,85.11266326904297,91.85266876220703,84.40266418457031,91.43866729736328,91.43866729736328,308548500.0,0.07432506263285026,0.03759653712734029,0.004921940662399376,-0.05683983781458588,Comprar
TSLA,2024,8,5,185.22000122070312,203.8800048828125,182.0,198.8800048828125,198.8800048828125,100308800.0,0.07375015426024366,0.039086031742076734,0.0025332171476373567,-0.02349156328267496,Comprar
TSLA,2020,6,30,67.0999984741211,72.51266479492188,66.91533660888672,71.98733520507812,71.98733520507812,253777500.0,0.07283661463631722,0.03478596632938731,0.0019753161204171033,-0.2692687627284711,Comprar
JPM,2022,10,13,101.9800033569336,109.9000015258789,101.76000213623047,109.37000274658203,104.36293029785156,22398700.0,0.07246518088240476,0.023801223163582422,0.00029070411341461226,-0.1461548834942262,Comprar
TSLA,2024,4,25,158.9600067138672,170.8800048828125,158.36000061035156,170.17999267578125,170.17999267578125,126427500.0,0.07058370337207129,0.024083173084630993,0.0009530087476216396,-0.23556301839685698,Comprar
AAPL,2024,6,11,193.64999389648438,207.16000366210938,193.6300048828125,207.14999389648438,206.91049194335938,172373300.0,0.06971340266200281,0.01792601836381759,0.0009330340862236028,0.138563068928553,Comprar
V,2022,2,24,203.3699951171875,217.86000061035156,201.4499969482422,217.3000030517578,213.09617614746094,13463400.0,0.0684958856715488,0.0211525722925808,0.002279638279007392,-0.033119753318501186,Comprar
V,2020,3,24,144.83999633789062,155.25,143.5800018310547,154.52999877929688,149.66720581054688,24488300.0,0.06690142699811236,0.03133016358444531,0.00234112032889826,-0.05847732081506424,Comprar
NVDA,2022,3,18,24.798999786376953,26.569000244140625,24.624000549316406,26.452999114990234,26.41765785217285,730719000.0,0.06669621125291864,0.04767259729864059,0.0014949863467266517,0.11404045252002382,Comprar
AMZN,2020,7,20,150.00999450683594,160.0679931640625,149.7010040283203,159.8419952392578,159.8419952392578,151964000.0,0.06554230446274587,0.027032942549934054,0.0033298726444345606,0.21141721870819502,Comprar
TSLA,2022,7,21,255.10667419433594,273.26666259765625,254.86666870117188,271.7066650390625,271.7066650390625,142032300.0,0.06507078224100468,0.03357236096675742,0.0012771065412362922,-0.10262622991540599,Comprar
GOOGL,2022,11,30,94.81999969482422,101.04000091552734,94.41999816894531,100.98999786376953,100.87422180175781,43647500.0,0.06507064109684978,0.022643734075368592,0.0004609364175043212,-0.11203324240706727,Comprar
NVDA,2023,2,14,21.577999114990234,23.048999786376953,21.365999221801758,22.97100067138672,22.957847595214844,675474000.0,0.06455656750068019,0.030473143527921184,0.00883298757413929,0.4143642330016685,Comprar
NVDA,2021,4,12,14.289750099182129,15.352499961853027,14.139249801635742,15.208999633789062,15.178078651428223,869324000.0,0.06432929395032225,0.02225622556110832,0.0007498685888881735,0.18890413031479464,Comprar
NVDA,2022,11,10,14.800000190734863,15.77299976348877,14.54699993133545,15.75,15.736956596374512,700819000.0,0.06418917547446103,0.03477190588963572,0.0015230010558924187,-0.1406110381815632,Comprar
NVDA,2023,2,1,19.69099998474121,21.191999435424805,19.611000061035156,20.94300079345703,20.931011199951172,660477000.0,0.06358238838484641,0.027367799596932404,0.008473327579361317,0.29531448363127044,Comprar
TSLA,2020,1,13,32.900001525878906,35.04199981689453,32.79999923706055,34.990665435791016,34.990665435791016,397764000.0,0.06354601255162885,0.021932968952098453,2.9583184211503105e-05,-0.7911848246182513,Comprar
NVDA,2022,8,25,16.8439998626709,17.94700050354004,16.83300018310547,17.913000106811523,17.89284896850586,770691000.0,0.06346475022893507,0.021995452778716108,0.007457763701736165,-0.20827603429179384,Comprar
TSLA,2024,5,21,175.50999450683594,186.8800048828125,174.7100067138672,186.60000610351562,186.60000610351562,115266500.0,0.06318735082774869,0.02781615871752278,0.0008566128403682206,-0.12967003597441226,Comprar
AMZN,2020,4,13,102.0,109.0,101.9000015258789,108.44349670410156,108.44349670410156,134334000.0,0.06317153631472121,0.025220817788706336,0.004015122838998619,-0.2312053715593488,Comprar
MSFT,2020,2,28,152.41000366210938,163.7100067138672,152.0,162.00999450683594,155.69448852539062,97012700.0,0.06298793133034492,0.024221891320953426,0.0008414534850315616,-0.1458464478930397,Comprar
JNJ,2020,3,17,128.5500030517578,136.77000427246094,127.80999755859375,136.58999633789062,120.61734008789062,18911800.0,0.06254370358043233,0.027118135196056815,0.00341385869089698,-0.25399914323001305,Comprar
NVDA,2023,1,23,18.06399917602539,19.2450008392334,17.81800079345703,19.19300079345703,19.1820125579834,655163000.0,0.06250009238984333,0.03267119040678298,0.0067437887889501055,0.17970153774194383,Comprar
MSFT,2022,11,30,240.57000732421875,255.3300018310547,239.86000061035156,255.13999938964844,251.52293395996094,47594200.0,0.06056445783698029,0.022283582391345244,0.001712073046480518,-0.03949662665802734,Comprar
JPM,2020,4,9,96.91999816894531,104.38999938964844,96.88999938964844,102.76000213623047,90.98756408691406,42055900.0,0.06025592321107147,0.038558098929225695,0.0032681607645000336,-0.3839950699807765,Comprar
TSLA,2021,12,23,335.6000061035156,357.6600036621094,332.5199890136719,355.6666564941406,355.6666564941406,92713200.0,0.059793355261249466,0.03641248587896033,0.003933067941826116,0.38173672605406117,Comprar
V,2020,4,6,160.02000427246094,170.72999572753906,158.25,169.44000244140625,164.1079864501953,16479100.0,0.058867628530406634,0.03311079814096008,0.003826810539110897,0.031181635291014805,Comprar
TSLA,2022,7,29,280.70001220703125,298.32000732421875,279.1000061035156,297.1499938964844,297.1499938964844,95313000.0,0.05860342349155434,0.03416374946025798,0.004272587630600347,-0.019765308135275925,Comprar
JPM,2020,5,14,82.72000122070312,88.11000061035156,82.4000015258789,87.5199966430664,77.49349212646484,35152500.0,0.05802702310843221,0.02207484751196176,8.253351154308406e-05,-0.4390488149381208,Comprar
TSLA,2020,8,12,98.0,105.66666412353516,95.66666412353516,103.65066528320312,103.65066528320312,327441000.0,0.05765984982860332,0.041597485160051816,0.001723563516839865,0.21107763914490899,Comprar
GOOGL,2022,7,5,107.10050201416016,113.37699890136719,105.73149871826172,113.26300048828125,113.1331558227539,39342000.0,0.05753939858569782,0.02063384806422583,0.002550401488329018,-0.14671704520332987,Comprar
TSLA,2021,11,10,336.8033447265625,359.3666687011719,329.10333251953125,355.98333740234375,355.98333740234375,128408100.0,0.05694715618502167,0.04092728538089797,0.005645121125160577,0.46503077950222055,Comprar
TSLA,2024,7,2,218.88999938964844,231.3000030517578,218.05999755859375,231.25999450683594,231.25999450683594,205047900.0,0.0565123813407644,0.028737457263659262,0.004027045230653913,0.12427554561778918,Comprar
NVDA,2024,1,8,49.512001037597656,52.275001525878906,49.479000091552734,52.25299835205078,52.246253967285156,642510000.0,0.055360261290423485,0.01903152776918015,0.0018388156472156129,0.2690917145311991,Comprar
V,2022,10,13,175.0,185.3699951171875,174.60000610351562,184.66000366210938,181.75482177734375,8426400.0,0.055200020926339285,0.018201484728471076,0.0002761768991991867,-0.11109419138669421,Comprar
TSLA,2023,6,22,250.77000427246094,265.0,248.25,264.6099853515625,264.6099853515625,166875900.0,0.0551899383630606,0.027569481635549706,0.0054647337207024745,0.35230812759773483,Comprar
NVDA,2022,12,8,16.273000717163086,17.179000854492188,15.958999633789062,17.16900062561035,17.1591739654541,515456000.0,0.05506052165918343,0.030778185124241395,0.005619299548921482,-0.02148048672196559,Comprar
JPM,2023,1,13,135.60000610351562,143.49000549316406,134.8000030517578,143.00999450683594,137.47084045410156,20200000.0,0.054645929718200786,0.013085274220649909,0.0013430031460803721,0.1660749269308376,Comprar
NVDA,2020,3,19,5.048999786376953,5.41825008392334,4.834750175476074,5.324250221252441,5.306013584136963,765512000.0,0.0545158341297934,0.047466873419215364,0.005222997903958555,-0.9735338760017312,Comprar
TSLA,2022,5,4,301.3133239746094,318.5,295.09332275390625,317.5400085449219,317.5400085449219,81643800.0,0.05385319293639954,0.04036638857254814,0.001779364449138447,0.04884932966857494,Comprar
TSLA,2024,6,17,177.9199981689453,188.80999755859375,177.0,187.44000244140625,187.44000244140625,109786100.0,0.05350721880865322,0.028194258221554493,0.00041675525055988067,-0.1028812350241119,Comprar
NVDA,2020,3,4,6.755000114440918,7.122250080108643,6.679999828338623,7.112750053405762,7.088387489318848,597408000.0,0.05296075986735244,0.03703248306268325,0.004448515693556043,-0.9670296638889957,Comprar
TSLA,2024,7,12,235.8000030517578,251.83999633789062,233.08999633789062,248.22999572753906,248.22999572753906,155955800.0,0.05271413280284344,0.037909328104104585,0.0040350255223633846,0.20826258194626104,Comprar
TSLA,2024,6,26,186.5399932861328,197.75999450683594,186.36000061035156,196.3699951171875,196.3699951171875,95737100.0,0.05269648431892294,0.024697377785406996,0.001291138247296859,-0.051154660710390557,Comprar
TSLA,2023,10,4,248.13999938964844,261.8599853515625,247.60000610351562,261.1600036621094,261.1600036621094,129721600.0,0.05247039697141261,0.023458270072734197,0.0014217290446546685,0.260227059205,Comprar
MSFT,2020,3,26,148.39999389648438,156.66000366210938,148.3699951171875,156.11000061035156,150.02447509765625,64568100.0,0.0519542252760823,0.03831556155520347,0.0015410678627719098,-0.16148694251787218,Comprar
TSLA,2023,7,24,255.85000610351562,269.8500061035156,254.1199951171875,269.05999755859375,269.05999755859375,136508500.0,0.051631780887014825,0.0254553303270914,0.0060045531524559196,0.3868736059440534,Comprar
NVDA,2020,4,6,6.38100004196167,6.747000217437744,6.323249816894531,6.710000038146973,6.687016487121582,727884000.0,0.051559315784639986,0.04812936678569844,0.007674967005836898,-0.9637176534656592,Comprar
TSLA,2022,4,4,363.1266784667969,383.3033447265625,357.510009765625,381.8166809082031,381.8166809082031,82035900.0,0.051469648334073595,0.02914288713707836,0.004328977548573385,0.3087123704309868,Comprar
TSLA,2021,11,16,334.4366760253906,352.3999938964844,334.05999755859375,351.57666015625,351.57666015625,79627200.0,0.05125031241955681,0.04317728420506663,0.005277879365727057,0.43876861423482927,Comprar
AAPL,2024,8,5,199.08999633789062,213.5,196.0,209.27000427246094,209.02806091308594,119548600.0,0.05113269436849582,0.01705007746404932,0.000998557733755347,0.10326672442748966,Comprar
MSFT,2020,3,30,152.44000244140625,160.60000610351562,150.00999450683594,160.22999572753906,153.98387145996094,63420300.0,0.05110202808562058,0.0364871024453614,0.002002577305840935,-0.13778725103086747,Comprar
GOOGL,2020,2,28,63.71549987792969,67.12249755859375,63.410499572753906,66.9625015258789,66.88573455810547,80198000.0,0.05096093814174002,0.018669384123828882,0.0007583489921182099,-0.8087145515931367,Comprar
